[1];3.141592654;2;1;0011
[3];3.141592654;2;2;0112
[7];3.141592654;2;3;1113
[1, 2];9.869604401;4;2;01111
[1, 3];6.283185307;3;3;01212
[1, 6];9.869604401;4;3;11112
[1, 7];6.283185307;3;4;11213
[3, 5];9.869604401;4;4;11222
[3, 7];6.283185307;3;5;12223
[1, 2, 3];9.869604401;4;4;022112
[1, 2, 4];31.00627668;8;3;111111
[1, 2, 5];19.73920880;6;4;112112
[1, 2, 7];15.5607;5;5;122113
[1, 3, 5];15.5019;5;5;113122
[1, 3, 6];15.6453;5;5;122122
[1, 3, 7];9.869604401;4;6;123123
[1, 6, 7];9.869604401;4;6;222123
[3, 5, 6];21.0005;5;6;222222
[3, 5, 7];9.869604401;4;7;223223
[1, 2, 3, 4];31.00627668;8;5;1221112
[1, 2, 3, 5];20.6507;6;6;1231122
[1, 2, 3, 7];13.15947253;5;7;1331123
[1, 2, 4, 7];37.5533;8;6;2221113
[1, 2, 5, 6];33.3491;7;6;2221122
[1, 2, 5, 7];20.67085112;6;7;2231123
[1, 3, 5, 6];28.5469;6;7;2231222
[1, 3, 5, 7];13.15947253;5;8;2241223
[1, 3, 6, 7];13.15947253;5;8;2331223
[3, 5, 6, 7];13.15947253;5;9;3332223
[1, 2, 3, 4, 5];37.6489;8;7;22311122
[1, 2, 3, 4, 7];31.00627668;8;8;23311123
[1, 2, 3, 5, 6];32.7539;7;8;23311222
[1, 2, 3, 5, 7];15.50313834;6;9;23411223
[1, 2, 5, 6, 7];23.6982;7;9;33311223
[1, 3, 5, 6, 7];15.50313834;6;10;33412223
[1, 2, 3, 4, 5, 6];40.9262;8;9;333111222
[1, 2, 3, 4, 5, 7];22.9889;8;10;334111223
[1, 2, 3, 5, 6, 7];16.53668090;7;11;344112223
[1, 2, 3, 4, 5, 6, 7];16.23484851;8;12;4441112223
