[1];3.136188;2;1;0011
[3];3.142124;2;2;0112
[7];3.143398;2;3;1113
[1, 2];9.858506;4;2;01111
[1, 3];6.291004;3;3;01212
[1, 6];9.867889;4;3;11112
[1, 7];6.263815;3;4;11213
[3, 5];10.034292;4;4;11222
[3, 7];6.280021;3;5;12223
[1, 2, 3];9.766072;4;4;022112
[1, 2, 4];31.095727;8;3;111111
[1, 2, 5];19.757285;6;4;112112
[1, 2, 7];15.477924;5;5;122113
[1, 3, 5];15.578265;5;5;113122
[1, 3, 6];15.742850;5;5;122122
[1, 3, 7];9.835692;4;6;123123
[1, 6, 7];9.933226;4;6;222123
[3, 5, 6];20.907399;5;6;222222
[3, 5, 7];9.694971;4;7;223223
[1, 2, 3, 4];30.712582;8;5;1221112
[1, 2, 3, 5];20.485013;6;6;1231122
[1, 2, 3, 7];13.230244;5;7;1331123
[1, 2, 4, 7];37.036743;8;6;2221113
[1, 2, 5, 6];33.587987;7;6;2221122
[1, 2, 5, 7];21.651925;6;7;2231123
[1, 3, 5, 6];27.838438;6;7;2231222
[1, 3, 5, 7];13.225639;5;8;2241223
[1, 3, 6, 7];13.227479;5;8;2331223
[3, 5, 6, 7];13.289831;5;9;3332223
[1, 2, 3, 4, 5];39.056093;8;7;22311122
[1, 2, 3, 4, 7];32.492429;8;8;23311123
[1, 2, 3, 5, 6];36.684814;7;8;23311222
[1, 2, 3, 5, 7];15.261615;6;9;23411223
[1, 2, 5, 6, 7];24.487470;7;9;33311223
[1, 3, 5, 6, 7];15.909370;6;10;33412223
[1, 2, 3, 4, 5, 6];43.018476;8;9;333111222
[1, 2, 3, 4, 5, 7];25.545323;8;10;334111223
[1, 2, 3, 5, 6, 7];16.244754;7;11;344112223
[1, 2, 3, 4, 5, 6, 7];15.363264;8;12;4441112223
